"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Latest consolidated version","Procedure status","ECLI identifier","Transposed legal act(s)","Date of document","Author","In force indicator","Publication Reference",
"Act concerning the conditions of accession of the Kingdom of Spain and the Portuguese Republic and the adjustments to the Treaties","","11985I/ACT","","","","","",,"","","1985-06-12","Portugal, The ten Member States: Belgium, Denmark, Germany, Ireland, Greece, France, Italy, Luxembourg, Netherlands, United Kingdom, Spain","true","OJ L 302, 15/11/1985, p. 23–465
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"Consolidated version of the Treaty on the Functioning of the European Union - Table of Contents","","12012E","","","","","",,"","","2012-10-26","The Member States","true","OJ C 326, 26/10/2012, p. 1–12
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Consolidated versions of the Treaty on European Union and the Treaty on the Functioning of the European Union#Consolidated version of the Treaty on European Union#Consolidated version of the Treaty on the Functioning of the European Union#Protocols#Annexes#Declarations annexed to the Final Act of the Intergovernmental Conference which adopted the Treaty of Lisbon#Tables of equivalences","","C2008/115/01","","","","","",,"","","2008-05-09","The Member States","","OJ C 115, 09/05/2008, p. 1–388
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Consolidated version of the Treaty on the Functioning of the European Union","","12008E","","","","","",,"","","1957-03-25","The Member States","true","OJ C 115, 09/05/2008, p. 47–388
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Treaty of Amsterdam amending the Treaty on European Union, the Treaties establishing the European Communities and certain related acts - Consolidated version of the Treaty establishing the European Community","","11997D/AFI/CE","","","","","",,"","","1997-10-02","The fifteen Member States: Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom","","OJ C 340, 10/11/1997, p. 173
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Treaty of Lisbon amending the Treaty on European Union and the Treaty establishing the European Community, signed at Lisbon, 13 December 2007 - AMENDMENTS TO THE TREATY ON EUROPEAN UNION AND TO THE TREATY ESTABLISHING THE EUROPEAN COMMUNITY - Article 2","","12007L002","","","","","",,"","","2007-12-13","The Member States","true","OJ C 306, 17/12/2007, p. 42–133
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Act concerning the Conditions of Accession and the Adjustments to the Treaties","","11972B/ACT","","","","","",,"","","1972-01-22","Ireland, The six Member States: Belgium, Germany, France, Italy, Luxembourg, Netherlands, Norway, United Kingdom, Denmark","true","",
"Act concerning the conditions of accession of the Czech Republic, the Republic of Estonia, the Republic of Cyprus, the Republic of Latvia, the Republic of Lithuania, the Republic of Hungary, the Republic of Malta, the Republic of Poland, the Republic of Slovenia and the Slovak Republic and the adjustments to the Treaties on which the European Union is founded - Annex II: List referred to in Article 20 of the Act of Accession - 1.  Free movement of goods - I. Public procurement","","12003TN02/01/I","","","","","",,"","","2003-04-16","Cyprus, Hungary, Slovakia, Lithuania, Estonia, Slovenia, Latvia, Poland, Malta, Czechia, The fifteen Member States: Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom","false","OJ L 236, 23/09/2003, p. 70–92
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Consolidated version of the Treaty on the Functioning of the European Union#PART ONE - PRINCIPLES#TITLE I - CATEGORIES AND AREAS OF UNION COMPETENCE#Article 4","","12016E004","","","","","",,"","","2016-06-07","EUMS","true","OJ C 202, 07/06/2016, p. 51–52
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Consolidated version of the Treaty on the Functioning of the European Union#PART ONE - PRINCIPLES#TITLE I - CATEGORIES AND AREAS OF UNION COMPETENCE#Article 4","","12012E004","","","","","",,"","","2012-10-26","The Member States","true","OJ C 326, 26/10/2012, p. 51–52
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Consolidated version of the Treaty on the Functioning of the European Union - PART ONE: PRINCIPLES - TITLE I: CATEGORIES AND AREAS OF UNION COMPETENCE - Article 4","","12008E004","","","","","",,"","","1957-03-25","The Member States","true","OJ C 115, 09/05/2008, p. 51–52
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Treaty establishing a Constitution for Europe - PART I - TITLE III — UNION COMPETENCES - Article I-14","","12004V014","","","","","",,"","","2004-10-29","Belgium, Sweden, France, Cyprus, Lithuania, Portugal, Slovakia, Luxembourg, Slovenia, Latvia, Spain, Ireland, Czechia, United Kingdom, Malta, Denmark, Estonia, Greece, Italy, Hungary, Netherlands, Finland, Austria, Poland, Germany","false","OJ C 310, 16/12/2004, p. 16–16
		 (ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV)",
"Act concerning the conditions of accession of the Czech Republic, the Republic of Estonia, the Republic of Cyprus, the Republic of Latvia, the Republic of Lithuania, the Republic of Hungary, the Republic of Malta, the Republic of Poland, the Republic of Slovenia and the Slovak Republic and the adjustments to the Treaties on which the European Union is founded - Annex II: List referred to in Article 20 of the Act of Accession - 6. Agriculture - B. Veterinary and phytosanitary legislation - I.  Veterinary legislation","","12003TN02/06/B1","","","","","",,"","","2003-04-16","Hungary, Estonia, Poland, Slovakia, Lithuania, Cyprus, Malta, The fifteen Member States: Belgium, Denmark, Germany, Ireland, Greece, Spain, France, Italy, Luxembourg, Netherlands, Austria, Portugal, Finland, Sweden, United Kingdom, Czechia, Slovenia, Latvia","true","OJ L 236, 23/09/2003, p. 381–437
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Act concerning the conditions of accession of the Hellenic Republic and the adjustments to the Treaties","","11979H/ACT","","","","","",,"","","1979-05-28","Greece, The nine Member States: Belgium, Denmark, Germany, Ireland, France, Italy, Luxembourg, Netherlands, United Kingdom","true","OJ L 291, 19/11/1979, p. 17–177
		 (DA, DE, EL, EN, FR, IT, NL)",
